,name of dissemination case,number of bikes,duration,name of map,seed
0,SimulationMode.Surrounding,2,undetermined,Mapsize.SMALL,10
1,SimulationMode.Surrounding,3,28190,Mapsize.SMALL,10
2,SimulationMode.Surrounding,4,17651,Mapsize.SMALL,10
3,SimulationMode.Surrounding,5,12639,Mapsize.SMALL,10
4,SimulationMode.Surrounding,6,14220,Mapsize.SMALL,10
5,SimulationMode.Surrounding,8,9905,Mapsize.SMALL,10
6,SimulationMode.Surrounding,10,6694,Mapsize.SMALL,10
7,SimulationMode.Surrounding,12,5936,Mapsize.SMALL,10
8,SimulationMode.Surrounding,16,4350,Mapsize.SMALL,10
9,SimulationMode.Surrounding,20,3375,Mapsize.SMALL,10
10,SimulationMode.Surrounding,25,2464,Mapsize.SMALL,10
11,SimulationMode.Surrounding,2,undetermined,Mapsize.SMALL2,10
12,SimulationMode.Surrounding,3,undetermined,Mapsize.SMALL2,10
13,SimulationMode.Surrounding,4,21849,Mapsize.SMALL2,10
14,SimulationMode.Surrounding,5,22999,Mapsize.SMALL2,10
15,SimulationMode.Surrounding,6,17250,Mapsize.SMALL2,10
16,SimulationMode.Surrounding,8,14194,Mapsize.SMALL2,10
17,SimulationMode.Surrounding,10,7691,Mapsize.SMALL2,10
18,SimulationMode.Surrounding,12,7232,Mapsize.SMALL2,10
19,SimulationMode.Surrounding,16,6791,Mapsize.SMALL2,10
20,SimulationMode.Surrounding,20,6377,Mapsize.SMALL2,10
21,SimulationMode.Surrounding,25,3723,Mapsize.SMALL2,10
22,SimulationMode.Surrounding,2,undetermined,Mapsize.MEDIUM,10
23,SimulationMode.Surrounding,3,undetermined,Mapsize.MEDIUM,10
24,SimulationMode.Surrounding,4,undetermined,Mapsize.MEDIUM,10
25,SimulationMode.Surrounding,5,undetermined,Mapsize.MEDIUM,10
26,SimulationMode.Surrounding,6,31460,Mapsize.MEDIUM,10
27,SimulationMode.Surrounding,8,27041,Mapsize.MEDIUM,10
28,SimulationMode.Surrounding,10,27235,Mapsize.MEDIUM,10
29,SimulationMode.Surrounding,12,22108,Mapsize.MEDIUM,10
30,SimulationMode.Surrounding,16,13135,Mapsize.MEDIUM,10
31,SimulationMode.Surrounding,20,14736,Mapsize.MEDIUM,10
32,SimulationMode.Surrounding,25,9238,Mapsize.MEDIUM,10
33,SimulationMode.Surrounding,2,undetermined,Mapsize.SMALL,11
34,SimulationMode.Surrounding,3,24431,Mapsize.SMALL,11
35,SimulationMode.Surrounding,4,13950,Mapsize.SMALL,11
36,SimulationMode.Surrounding,5,19228,Mapsize.SMALL,11
37,SimulationMode.Surrounding,6,10033,Mapsize.SMALL,11
38,SimulationMode.Surrounding,8,10223,Mapsize.SMALL,11
39,SimulationMode.Surrounding,10,6807,Mapsize.SMALL,11
40,SimulationMode.Surrounding,12,6178,Mapsize.SMALL,11
41,SimulationMode.Surrounding,16,4499,Mapsize.SMALL,11
42,SimulationMode.Surrounding,20,3340,Mapsize.SMALL,11
43,SimulationMode.Surrounding,25,3424,Mapsize.SMALL,11
44,SimulationMode.Surrounding,2,undetermined,Mapsize.SMALL2,11
45,SimulationMode.Surrounding,3,41271,Mapsize.SMALL2,11
46,SimulationMode.Surrounding,4,25189,Mapsize.SMALL2,11
47,SimulationMode.Surrounding,5,23639,Mapsize.SMALL2,11
48,SimulationMode.Surrounding,6,18651,Mapsize.SMALL2,11
49,SimulationMode.Surrounding,8,11322,Mapsize.SMALL2,11
50,SimulationMode.Surrounding,10,7708,Mapsize.SMALL2,11
51,SimulationMode.Surrounding,12,6262,Mapsize.SMALL2,11
52,SimulationMode.Surrounding,16,7024,Mapsize.SMALL2,11
53,SimulationMode.Surrounding,20,6139,Mapsize.SMALL2,11
54,SimulationMode.Surrounding,25,3274,Mapsize.SMALL2,11
55,SimulationMode.Surrounding,2,undetermined,Mapsize.MEDIUM,11
56,SimulationMode.Surrounding,3,undetermined,Mapsize.MEDIUM,11
57,SimulationMode.Surrounding,4,42390,Mapsize.MEDIUM,11
58,SimulationMode.Surrounding,5,undetermined,Mapsize.MEDIUM,11
59,SimulationMode.Surrounding,6,33924,Mapsize.MEDIUM,11
60,SimulationMode.Surrounding,8,25177,Mapsize.MEDIUM,11
61,SimulationMode.Surrounding,10,22263,Mapsize.MEDIUM,11
62,SimulationMode.Surrounding,12,18706,Mapsize.MEDIUM,11
63,SimulationMode.Surrounding,16,14254,Mapsize.MEDIUM,11
64,SimulationMode.Surrounding,20,11000,Mapsize.MEDIUM,11
65,SimulationMode.Surrounding,25,10608,Mapsize.MEDIUM,11
66,SimulationMode.Surrounding,2,undetermined,Mapsize.SMALL,12
67,SimulationMode.Surrounding,3,26356,Mapsize.SMALL,12
68,SimulationMode.Surrounding,4,25074,Mapsize.SMALL,12
69,SimulationMode.Surrounding,5,12591,Mapsize.SMALL,12
70,SimulationMode.Surrounding,6,16021,Mapsize.SMALL,12
71,SimulationMode.Surrounding,8,6235,Mapsize.SMALL,12
